Company,Role / Title,Job Type,Experience Level,Location / Remote,Salary / CTC / Stipend,Match Fit,Apply Link
Syfe,Backend Engineer (SDE III) - India,Fresher / Entry-Level (0-1 yrs),0-1 yrs (Fresher / New Grad),"Gurugram, Haryana, India",Competitive (Market Standard),96%,https://in.linkedin.com/jobs/view/backend-engineer-sde-iii-india-at-syfe-4409776827?position=2&pageNum=0&refId=Mg1TwPxgYEpEKoCJwbRoJw%3D%3D&trackingId=h6lUcHcdcj0B1MK8Ji5Q2w%3D%3D
Portcast,Backend Engineer,Full-Time (General),1-3 yrs (Standard),"Delhi, India",Competitive (Market Standard),95%,https://in.linkedin.com/jobs/view/backend-engineer-at-portcast-4426385566?position=5&pageNum=0&refId=Mg1TwPxgYEpEKoCJwbRoJw%3D%3D&trackingId=4%2BigthxbYdfqggKW4wudqg%3D%3D
Impronics Technologies,Python Developer,Full-Time (General),1-3 yrs (Standard),"Gurugram, Haryana, India",Competitive (Market Standard),92%,https://in.linkedin.com/jobs/view/python-developer-at-impronics-technologies-4103404432?position=1&pageNum=0&refId=gBxjMCrCKahf%2Bpl8Fcnw2Q%3D%3D&trackingId=D2Xod%2BxlziGVHOwdb9W6mw%3D%3D
Microsoft,Software Engineer II,Fresher / Entry-Level (0-1 yrs),0-1 yrs (Fresher / New Grad),"Noida, Uttar Pradesh, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/software-engineer-ii-at-microsoft-4453108582?position=4&pageNum=0&refId=j%2FK6Hlb%2F%2BicTmfvOYmOPcQ%3D%3D&trackingId=a0jF6Gu7DCz1HbU%2B5rpTgQ%3D%3D
Google,Platform Customer Engineer,Full-Time (General),1-3 yrs (Standard),"Gurugram, Haryana, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/platform-customer-engineer-at-google-4437558928?position=3&pageNum=0&refId=q2iENRSjQZHdUesa6IkfUA%3D%3D&trackingId=zf6xvnmP5Tqt4gVNGFvYPg%3D%3D
Marduk Technologies,Software Developer,Full-Time (General),1-3 yrs (Standard),"Pocket 6 Sector 21, Delhi, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/software-developer-at-marduk-technologies-4449817611?position=1&pageNum=0&refId=NA1Rue%2FX8rQTNSd9nLv4yA%3D%3D&trackingId=uiEAbVtFyga7NglhNAxOLw%3D%3D
Techdotbit,Software Engineer,Full-Time (General),1-3 yrs (Standard),"Delhi, Delhi, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/software-engineer-at-techdotbit-4342253258?position=6&pageNum=0&refId=NA1Rue%2FX8rQTNSd9nLv4yA%3D%3D&trackingId=s0bBT%2FJjiZ4%2BbXrT8oHErQ%3D%3D
WP Rocket,Backend Software Engineer (US Shift),Full-Time (General),1-3 yrs (Standard),"Gurugram, Haryana, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/backend-software-engineer-us-shift-at-wp-rocket-4450728055?position=6&pageNum=0&refId=Mg1TwPxgYEpEKoCJwbRoJw%3D%3D&trackingId=7XEumAM649WbnT8DjMXPIQ%3D%3D
PlusWealth Group,Python Developer,Full-Time (General),1-3 yrs (Standard),"Gurugram, Haryana, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/python-developer-at-pluswealth-group-4453515492?position=2&pageNum=0&refId=gBxjMCrCKahf%2Bpl8Fcnw2Q%3D%3D&trackingId=3K7BV1LH3cEWP%2FBiI6Fd0Q%3D%3D
Innefu Labs,Python Developer,Full-Time (General),1-3 yrs (Standard),"Delhi, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/python-developer-at-innefu-labs-4436666713?position=4&pageNum=0&refId=gBxjMCrCKahf%2Bpl8Fcnw2Q%3D%3D&trackingId=azMa4tsMo1ezhPhXrRr%2FyA%3D%3D
Rohde & Schwarz,Python Software Development,Full-Time (General),1-3 yrs (Standard),"New Delhi, Delhi, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/python-software-development-at-rohde-schwarz-4403656929?position=5&pageNum=0&refId=gBxjMCrCKahf%2Bpl8Fcnw2Q%3D%3D&trackingId=2a9hSHddb30RmswyIHu92w%3D%3D
IndiGo (InterGlobe Aviation Ltd),Python Developer (RAVE Programming),Full-Time (General),1-3 yrs (Standard),"Gurugram, Haryana, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/python-developer-rave-programming-at-indigo-interglobe-aviation-ltd-4443752338?position=6&pageNum=0&refId=gBxjMCrCKahf%2Bpl8Fcnw2Q%3D%3D&trackingId=LQbct2VlR%2BVLYV2%2BVz8HlA%3D%3D
Accenture in India,Software Development Engineer,Full-Time (General),1-3 yrs (Standard),"Bengaluru, Karnataka, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/software-development-engineer-at-accenture-in-india-4448321525?position=3&pageNum=0&refId=EXawlZGc3gIwEXL63BgzfA%3D%3D&trackingId=wpifx71OLz05MSql3LI2lQ%3D%3D
Adobe,Software Development Engineer 4,Full-Time (General),1-3 yrs (Standard),"Bengaluru East, Karnataka, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/software-development-engineer-4-at-adobe-4447908544?position=4&pageNum=0&refId=EXawlZGc3gIwEXL63BgzfA%3D%3D&trackingId=BJIWfv7s0G30PQk6vY1sCg%3D%3D
Empower India,Engineer Software,Full-Time (General),1-3 yrs (Standard),"Bengaluru, Karnataka, India",Competitive (Market Standard),91%,https://in.linkedin.com/jobs/view/engineer-software-at-empower-india-4440485921?position=6&pageNum=0&refId=EXawlZGc3gIwEXL63BgzfA%3D%3D&trackingId=rEcvwbHunMLjY29agAGAjg%3D%3D
