Company,Role / Title,Job Type,Experience Level,Location / Remote,Salary / CTC / Stipend,Match Fit,Posted Date,Age (Days),Freshness,Freshness Confidence,Ready to Apply,Apply Link
Stripe,"Software Engineer, Internal Systems",Full-Time,0-2 yrs,"Bengaluru, India",Competitive (Market Standard),88%,"Aug 13, 2026",4d,🟢 FRESH,CONFIRMED_POSTED,✅ YES,https://stripe.com/jobs/search?gh_jid=7543868
Airbnb,"Senior Staff Software Engineer, Payments",Full-Time,0-2 yrs,"Remote - Bangalore, India",Competitive (Market Standard),88%,"Aug 12, 2026",5d,🟢 FRESH,CONFIRMED_POSTED,✅ YES,https://careers.airbnb.com/positions/7525479?gh_jid=7525479
Notion,"Software Engineer, Infrastructure ",Full-Time,0-2 yrs,"Hyderabad, India",Competitive (Market Standard),88%,"Aug 12, 2026",5d,🟢 FRESH,CONFIRMED_POSTED,✅ YES,https://jobs.ashbyhq.com/notion/42f18ccd-c4c8-4a85-8c1f-de12c575fe87/application
MIIT GLOBAL PVT. LTD.,Full Stack Developer,Full-Time,0-2 yrs,"Vapi, Gujarat, India",Competitive (Market Standard),88%,"Aug 17, 2026",0d,🟢 FRESH,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/full-stack-developer-at-miit-global-pvt-ltd-4445138324?position=9&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=Bcjl9kadXx7lu5MqPv5rvQ%3D%3D
Accenture in India,Custom Software Engineer,Full-Time,0-2 yrs,"Ahmedabad, Gujarat, India",Competitive (Market Standard),88%,"Aug 08, 2026",9d,🟡 AGING,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4454591390?position=1&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=ArzemHDxFnemBL291umnmA%3D%3D
Accenture in India,Custom Software Engineer,Full-Time,0-2 yrs,"Nagpur, Maharashtra, India",Competitive (Market Standard),88%,"Aug 07, 2026",10d,🟡 AGING,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4448374964?position=2&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=Sblf5B5GG59xm%2B4C4TwKYA%3D%3D
YouthNet,Software Developer Job Vacancy in Kohima Nagaland,Full-Time,0-2 yrs,"Kohima, Nagaland, India",Competitive (Market Standard),88%,"Aug 06, 2026",11d,🟡 AGING,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-developer-job-vacancy-in-kohima-nagaland-at-youthnet-4247411794?position=3&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=PBEN9oTHtxysOxLG1e45OQ%3D%3D
ServLogic Innovations LLP.,Senior .NET Developer,Full-Time,0-2 yrs,"Port Blair, Andaman and Nicobar Islands, India",Competitive (Market Standard),88%,"Jul 28, 2026",20d,🟠 STALE,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/senior-net-developer-at-servlogic-innovations-llp-4446990115?position=5&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=S102FtHUL%2B4XfY8vleUNcg%3D%3D
Marduk Technologies,Software Developer,Full-Time,0-2 yrs,"Pocket 6 Sector 21, Delhi, India",Competitive (Market Standard),88%,"Jul 27, 2026",21d,🟠 STALE,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-developer-at-marduk-technologies-4449817611?position=6&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=8BSgfiq%2FVRdXcAHEzm9Ryg%3D%3D
NeonScouts,Priya Sharma,Full-Time,0-2 yrs,"Anupgarh, Rajasthan, India",Competitive (Market Standard),88%,"Jul 26, 2026",22d,🟠 STALE,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/priya-sharma-at-neonscouts-4445853567?position=7&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=A8A%2BuAJnlWwObh5Bm0Rgmw%3D%3D
Oracle,Software Developer 3,Full-Time,0-2 yrs,"Trivandrum, Kerala, India",Competitive (Market Standard),88%,"Jul 04, 2026",44d,🔴 VERY STALE,CONFIRMED_POSTED,❌ NO,https://in.linkedin.com/jobs/view/software-developer-3-at-oracle-4438722956?position=8&pageNum=0&refId=1IG6eUwkRGmNGK8KklZsCQ%3D%3D&trackingId=NZcvnFuRB8m2i2DcD%2FcYNQ%3D%3D
