Company	Role / Title	Job Type	Experience Level	Location / Remote	Salary / CTC / Stipend	Match Fit	Apply Link
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	Remote - United Kingdom	Competitive (Market Standard)	96%	https://databricks.com/company/careers/open-positions/job?gh_jid=8593713002
Supabase	Product Manager - Marketplace	Senior / Lead (5+ yrs)	7+ yrs	Remote	Competitive (Market Standard)	90%	https://jobs.ashbyhq.com/supabase/23c9ce7e-6b7b-4316-8f00-8f318e902441/application
Supabase	Multigres Engineer	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	90%	https://jobs.ashbyhq.com/supabase/2e718684-4f75-4a99-8d6b-3b6bd44e4228/application
Airbnb	Data Scientist - Algorithms, Community Support	Full-Time (General)	1-3 yrs (Standard)	Remote - USA	Competitive (Market Standard)	90%	https://careers.airbnb.com/positions/8031901?gh_jid=8031901
Discord	Engineering Manager, Revenue	Senior / Lead (5+ yrs)	5+ yrs	Remote	Competitive (Market Standard)	90%	https://job-boards.greenhouse.io/discord/jobs/8502342002
Airbnb	Data Scientist - Inference, Community Support	Full-Time (General)	1-3 yrs (Standard)	Remote - USA	Competitive (Market Standard)	89%	https://careers.airbnb.com/positions/8031907?gh_jid=8031907
Postman	Account Development Representative (Dutch Speaking)	Full-Time (General)	1-3 yrs (Standard)	Remote, UK	Competitive (Market Standard)	89%	https://job-boards.greenhouse.io/postman/jobs/6688721003
Discord	Engineering Manager, Notifications	Senior / Lead (5+ yrs)	5+ yrs	Remote	Competitive (Market Standard)	89%	https://job-boards.greenhouse.io/discord/jobs/8537955002
Discord	Manager, Safety Analytics	Senior / Lead (5+ yrs)	5+ yrs	Remote US	Competitive (Market Standard)	89%	https://job-boards.greenhouse.io/discord/jobs/8675215002
Gusto	Customer Support Specialist, Payroll and Taxes	Full-Time (General)	1-3 yrs (Standard)	Phoenix, AZ - Remote	Competitive (Market Standard)	89%	https://job-boards.greenhouse.io/gusto/jobs/8100272
Stripe	Account Executive - Enterprise, Grower	Full-Time (General)	1-3 yrs (Standard)	US-Remote, US-San Francisco, US-Chicago, US-New York, US-Seattle, US-Texas	Competitive (Market Standard)	88%	https://stripe.com/jobs/search?gh_jid=7993151
Stripe	Account Executive, Enterprise (Grower) 	Full-Time (General)	1-3 yrs (Standard)	US-San Francisco, US-Seattle, US-West Coast (Remote) 	Competitive (Market Standard)	88%	https://stripe.com/jobs/search?gh_jid=8107136
Pinterest	Accountant I	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA, US; Remote, US	Competitive (Market Standard)	88%	https://www.pinterestcareers.com/jobs/?gh_jid=8066850
Gusto	Channel Partnerships Manager, Investor Ecosystems (VC & PE)	Senior / Lead (5+ yrs)	5+ yrs	Phoenix, AZ; Las Vegas, NV; Denver, CO; Atlanta, GA; Chicago, IL; San Francisco, CA;New York, NY;Toronto, Ontario, CAN - Remote	Competitive (Market Standard)	88%	https://job-boards.greenhouse.io/gusto/jobs/8022493
Postman	AI Engineer, Internship - Summer 2026 - Applications Open Now	Internship	0 yrs (College / Student)	Berkeley, California, United States; San Francisco, California, United States	Competitive (Market Standard)	76%	https://job-boards.greenhouse.io/postman/jobs/7823417003
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	Sydney, Australia	Competitive (Market Standard)	76%	https://databricks.com/company/careers/open-positions/job?gh_jid=8298792002
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	United States	Competitive (Market Standard)	76%	https://databricks.com/company/careers/open-positions/job?gh_jid=8546367002
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	Tokyo, Japan	Competitive (Market Standard)	76%	https://databricks.com/company/careers/open-positions/job?gh_jid=8569392002
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	Melbourne, Australia	Competitive (Market Standard)	76%	https://databricks.com/company/careers/open-positions/job?gh_jid=8330188002
Databricks	AI Engineer - FDE (Forward Deployed Engineer)	Full-Time (General)	1-3 yrs (Standard)	Seoul, South Korea	Competitive (Market Standard)	76%	https://databricks.com/company/careers/open-positions/job?gh_jid=8574655002
Gusto	Enterprise Application AI Engineer	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA - Hybrid	Competitive (Market Standard)	76%	https://job-boards.greenhouse.io/gusto/jobs/7369003
Supabase	Postgres Engineer	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	73%	https://jobs.ashbyhq.com/supabase/c16bd707-29f2-46fb-8409-7270ff00978b/application
Scaleai	AI Infrastructure Engineer, Model Serving Platform	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA; New York, NY	Competitive (Market Standard)	72%	https://job-boards.greenhouse.io/scaleai/jobs/4520320005
Scaleai	AI Infrastructure Engineer, Sandbox Platform	Full-Time (General)	1-3 yrs (Standard)	London, UK	Competitive (Market Standard)	72%	https://job-boards.greenhouse.io/scaleai/jobs/4717105005
Scaleai	AI Infrastructure Engineer, Serving Platform	Full-Time (General)	1-3 yrs (Standard)	London, UK	Competitive (Market Standard)	72%	https://job-boards.greenhouse.io/scaleai/jobs/4717977005
Openai	Technical Program Manager, Compute Infrastructure	Senior / Lead (5+ yrs)	5+ yrs	San Francisco	Competitive (Market Standard)	71%	https://jobs.ashbyhq.com/openai/8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3/application
Openai	Software Engineer, Scaled Abuse	Full-Time (General)	5+ yrs	San Francisco	Competitive (Market Standard)	71%	https://jobs.ashbyhq.com/openai/3c67f712-697d-48d8-b05c-01be896e61da/application
Notion	Forward Deployed Engineer, GTM, AMER	Full-Time (General)	1-3 yrs (Standard)	San Francisco, California	Competitive (Market Standard)	71%	https://jobs.ashbyhq.com/notion/10437426-14c8-4c45-8075-67959ce80393/application
Cloudflare	AI Security Research & Red Team Engineer	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	71%	https://boards.greenhouse.io/cloudflare/jobs/8097321?gh_jid=8097321
Scaleai	AI Advisory Consultant	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA; New York, NY	Competitive (Market Standard)	71%	https://job-boards.greenhouse.io/scaleai/jobs/4715970005
Scaleai	AI Applications Ops Manager, GPS	Senior / Lead (5+ yrs)	5+ yrs	Doha, Qatar 	Competitive (Market Standard)	71%	https://job-boards.greenhouse.io/scaleai/jobs/4654510005
Scaleai	AI Builder Intern	Internship	0 yrs (College / Student)	San Francisco, CA	Competitive (Market Standard)	71%	https://job-boards.greenhouse.io/scaleai/jobs/4703343005
Scaleai	AI Product Manager (Coding/Multimodal)	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, CA	Competitive (Market Standard)	71%	https://job-boards.greenhouse.io/scaleai/jobs/4609736005
Scaleai	AI Strategy Consultant, Frontier Tech	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA	Competitive (Market Standard)	71%	https://job-boards.greenhouse.io/scaleai/jobs/4472223005
Palantir	Backend Software Engineer - Application Development	Full-Time (General)	1-3 yrs (Standard)	London, United Kingdom	Competitive (Market Standard)	71%	https://jobs.lever.co/palantir/10dfc8bc-99ad-4ca2-ab76-853cb90a92c2
Palantir	Backend Software Engineer - Application Development	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$135,000 - $200,000 / yr	71%	https://jobs.lever.co/palantir/ab7e3425-81d5-4705-a7b5-cd60c8a45cdb
Palantir	Backend Software Engineer - Infrastructure	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$135,000 - $200,000 / yr	71%	https://jobs.lever.co/palantir/6fe5515f-f677-4d98-8ac2-1775a425f5e7
Linear	Account Executive, Growth	Full-Time (General)	5+ yrs	North America	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/linear/453f1ba0-a35e-4ed2-8215-1514e0a30b92/application
Linear	Product Manager	Senior / Lead (5+ yrs)	6+ yrs	North America	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/linear/b7669c4b-eeca-421d-ba9a-d90203f6fcb2/application
Linear	Product Manager	Senior / Lead (5+ yrs)	6+ yrs	Europe	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/linear/86abcce0-04b2-405c-9a8e-e0ca84813914/application
Linear	Account Executive, Startups	Full-Time (General)	3+ yrs	North America	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/linear/c21af93e-210f-4969-8eaa-90fb16a5b720/application
Linear	Senior / Staff Product Designer	Senior / Lead (5+ yrs)	7+ yrs	North America	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/linear/a264869e-f058-487c-ab7f-9b77dffa427c/application
Notion	Business Development Representative, New York	Full-Time (General)	1-3 yrs (Standard)	New York, New York	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/05e14247-17c4-4e98-9a13-53828a4e2f13/application
Notion	Product Designer	Full-Time (General)	5+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/d177d052-ef57-4900-acf2-d58e9eded620/application
Notion	Enterprise Sales Leader	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/7f02bc74-65e8-4b62-a2dc-aee2fa8a3894/application
Notion	People Partner, EPD	Full-Time (General)	10+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/5546e570-aa17-4e88-a877-f62d0d56f378/application
Notion	Governance, Risk, and Compliance Intern (Fall 2026)	Internship	0 yrs (College / Student)	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/6ccbc30c-2de0-4395-af14-3641cd15961b/application
Notion	Commercial Sales Manager, Japan	Senior / Lead (5+ yrs)	5+ yrs	Tokyo, Japan 	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/notion/e95ff317-92fe-4e34-88da-a83fe093f017/application
Sentry	Senior Technical Customer Success Manager 	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/sentry/c736c27c-406d-43eb-8f88-bc7defb7ff32/application
Sentry	Technical Enablement Director	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/sentry/ee7542d4-f478-4aa0-8da9-3583845d8269/application
Sentry	Staff Software Engineer, Issue Workflow	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/sentry/c3ed6481-f031-4fe9-a456-775b7b3d2eda/application
Sentry	Staff Software Engineer, Issue Workflow	Senior / Lead (5+ yrs)	5+ yrs	Toronto, Ontario, Canada	Competitive (Market Standard)	70%	https://jobs.ashbyhq.com/sentry/68757804-a892-40ed-8ea7-f2d13500f29c/application
Airbnb	Engineering Manager, Cloud & Data Security	Senior / Lead (5+ yrs)	5+ yrs	United States	Competitive (Market Standard)	70%	https://careers.airbnb.com/positions/8074765?gh_jid=8074765
Cloudflare	Accounting Intern (Fall 2026)	Internship	0 yrs (College / Student)	In-Office	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/7902104?gh_jid=7902104
Cloudflare	Business Development Manager	Senior / Lead (5+ yrs)	5+ yrs	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/8084358?gh_jid=8084358
Cloudflare	Business Development Representative	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/8078210?gh_jid=8078210
Cloudflare	Business Development Representative - Arabic Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/6696709?gh_jid=6696709
Cloudflare	 Business Development Representative (BDR) 	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/6557318?gh_jid=6557318
Cloudflare	 Business Development Representative (BDR), LATAM Spanish Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/7991345?gh_jid=7991345
Cloudflare	Business Development Representative - Danish, Norwegian or Swedish Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/7657028?gh_jid=7657028
Cloudflare	Business Development Representative - Dutch Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/7883803?gh_jid=7883803
Cloudflare	Business Development Representative - Turkish Speaking	Full-Time (General)	1-3 yrs (Standard)	Hybrid	Competitive (Market Standard)	70%	https://boards.greenhouse.io/cloudflare/jobs/7772239?gh_jid=7772239
Pinterest	Administrative Business Partner I - Core Engineering	Full-Time (General)	1-3 yrs (Standard)	San Francisco, CA, US; Palo Alto, CA, US	Competitive (Market Standard)	70%	https://www.pinterestcareers.com/jobs/?gh_jid=8103612
Discord	Data Engineer	Full-Time (General)	1-3 yrs (Standard)	San Francisco Bay Area	Competitive (Market Standard)	70%	https://job-boards.greenhouse.io/discord/jobs/8614971002
Discord	Oracle ERP Fusion Functional Analyst	Full-Time (General)	1-3 yrs (Standard)	San Francisco Bay Area	Competitive (Market Standard)	70%	https://job-boards.greenhouse.io/discord/jobs/8627166002
Scaleai	AI Advisory Principal	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, CA; New York, NY	Competitive (Market Standard)	70%	https://job-boards.greenhouse.io/scaleai/jobs/4715976005
